resultId,raceId,driverId,constructorId,grid,position,positionText,positionOrder,points,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,constructorRef,constructor_name,constructor_nationality,driverRef,code,forename,surname,dob,driver_nationality,driver_name
31,19,14,9,12,9,9,9,0.0,55,9,1:36.206,207.417,1,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
32,19,18,11,11,10,10,10,0.0,56,4,1:35.715,208.481,1,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
35,19,22,11,14,13,13,13,0.0,55,11,1:36.693,206.372,11,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
36,19,3,3,16,14,14,14,0.0,55,13,1:36.782,206.182,11,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
40,19,20,5,15,\N,R,18,0.0,37,14,1:36.870,205.995,5,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
41,19,13,6,1,\N,R,19,0.0,15,5,1:35.914,208.048,20,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
45,20,13,6,2,1,1,1,10.0,38,3,1:33.600,208.153,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
46,20,8,6,4,2,2,2,8.0,35,4,1:33.709,207.911,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
51,20,17,9,11,7,7,7,2.0,51,8,1:34.305,206.597,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
52,20,3,3,8,8,8,8,1.0,57,6,1:34.072,207.109,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
54,20,4,4,10,10,10,10,0.0,35,13,1:35.194,204.668,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
55,20,22,11,12,11,11,11,0.0,40,10,1:34.855,205.399,1,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
57,20,1,1,3,13,13,13,0.0,25,19,1:35.520,203.969,11,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
62,20,14,9,17,18,18,18,0.0,43,16,1:35.351,204.331,11,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
65,20,18,11,9,\N,R,21,0.0,11,21,1:36.125,202.686,4,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
66,20,20,5,19,\N,R,22,0.0,\N,\N,\N,\N,5,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
67,21,8,6,1,1,1,1,10.0,46,1,1:21.670,205.191,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
68,21,13,6,3,2,2,2,8.0,45,2,1:21.801,204.863,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
69,21,1,1,5,3,3,3,6.0,20,3,1:22.017,204.323,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
71,21,17,9,7,5,5,5,4.0,19,8,1:22.564,202.969,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
72,21,18,11,13,6,6,6,3.0,66,5,1:22.353,203.489,1,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
78,21,14,9,17,12,12,12,0.0,57,11,1:22.842,202.288,11,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
80,21,3,3,15,\N,R,14,0.0,20,13,1:23.319,201.130,5,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
81,21,4,4,2,\N,R,15,0.0,15,9,1:22.683,202.677,5,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
82,21,22,11,11,\N,R,16,0.0,21,16,1:23.858,199.837,4,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
88,21,20,5,18,\N,R,22,0.0,\N,\N,\N,\N,4,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
89,22,13,6,1,1,1,1,10.0,16,3,1:26.666,221.734,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
90,22,1,1,3,2,2,2,8.0,31,2,1:26.529,222.085,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
91,22,8,6,4,3,3,3,6.0,20,1,1:26.506,222.144,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
94,22,4,4,7,6,6,6,3.0,57,6,1:27.280,220.174,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
95,22,17,9,6,7,7,7,2.0,14,7,1:27.630,219.294,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
96,22,3,3,11,8,8,8,1.0,55,9,1:27.795,218.882,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
97,22,14,9,10,9,9,9,0.0,41,12,1:27.966,218.457,1,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
99,22,18,11,13,11,11,11,0.0,57,13,1:27.998,218.377,11,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
102,22,22,11,12,14,14,14,0.0,56,14,1:28.017,218.330,11,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
105,22,20,5,14,17,17,17,0.0,38,15,1:28.180,217.926,11,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
109,23,1,1,3,1,1,1,10.0,71,6,1:18.510,153.152,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
111,23,13,6,1,3,3,3,6.0,76,4,1:17.886,154.379,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
112,23,17,9,9,4,4,4,5.0,74,8,1:19.036,152.133,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
113,23,20,5,19,5,5,5,4.0,74,7,1:18.787,152.614,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
114,23,22,11,14,6,6,6,3.0,75,9,1:19.574,151.104,1,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
117,23,8,6,2,9,9,9,0.0,74,1,1:16.689,156.789,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
118,23,4,4,7,10,10,10,0.0,73,3,1:17.869,154.413,11,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
119,23,18,11,11,11,11,11,0.0,74,10,1:19.582,151.089,11,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
124,23,3,3,6,\N,R,16,0.0,58,15,1:21.270,147.951,3,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
127,23,14,9,15,\N,R,19,0.0,7,20,1:42.112,117.753,3,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
131,24,14,9,13,3,3,3,6.0,36,7,1:18.085,201.057,1,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
133,24,13,6,6,5,5,5,4.0,11,6,1:18.006,201.261,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
135,24,22,11,9,7,7,7,2.0,35,10,1:18.301,200.503,1,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
136,24,20,5,19,8,8,8,1.0,33,12,1:18.532,199.913,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
138,24,3,3,5,10,10,10,0.0,14,5,1:17.977,201.336,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
139,24,18,11,20,11,11,11,0.0,58,19,1:19.352,197.847,1,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
140,24,17,9,10,12,12,12,0.0,51,8,1:18.201,200.759,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
144,24,4,4,4,\N,R,16,0.0,16,9,1:18.225,200.697,20,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
146,24,8,6,3,\N,R,18,0.0,14,1,1:17.387,202.871,4,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
147,24,1,1,1,\N,R,19,0.0,4,3,1:17.506,202.559,4,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
149,25,13,6,2,1,1,1,10.0,20,2,1:16.729,206.956,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
150,25,8,6,1,2,2,2,8.0,16,1,1:16.630,207.224,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
154,25,17,9,6,6,6,6,3.0,22,6,1:17.507,204.879,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
156,25,4,4,3,8,8,8,1.0,39,8,1:17.641,204.525,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
157,25,14,9,7,9,9,9,0.0,23,12,1:17.818,204.060,1,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
158,25,1,1,13,10,10,10,0.0,40,5,1:17.453,205.022,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
160,25,20,5,12,12,12,12,0.0,36,11,1:17.760,204.212,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
162,25,22,11,20,14,14,14,0.0,54,14,1:17.969,203.665,11,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
164,25,3,3,19,16,16,16,0.0,38,17,1:18.311,202.776,11,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
168,25,18,11,16,\N,R,20,0.0,15,20,1:20.876,196.345,4,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
169,26,1,1,4,1,1,1,10.0,16,3,1:32.817,199.398,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
171,26,22,11,16,3,3,3,6.0,21,11,1:33.386,198.183,1,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
172,26,8,6,3,4,4,4,5.0,18,1,1:32.150,200.842,11,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
174,26,4,4,6,6,6,6,3.0,17,6,1:33.133,198.722,11,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
177,26,3,3,20,9,9,9,0.0,21,16,1:34.797,195.234,11,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
178,26,17,9,2,10,10,10,0.0,17,4,1:32.952,199.109,11,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
181,26,13,6,9,13,13,13,0.0,19,8,1:33.257,198.458,12,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
183,26,18,11,17,\N,R,15,0.0,21,10,1:33.376,198.205,20,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
187,26,20,5,8,\N,R,19,0.0,\N,\N,\N,\N,4,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
188,26,14,9,11,\N,R,20,0.0,\N,\N,\N,\N,4,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
189,27,1,1,1,1,1,1,10.0,17,2,1:16.039,216.552,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
191,27,13,6,2,3,3,3,6.0,19,5,1:16.502,215.241,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
194,27,8,6,6,6,6,6,3.0,66,3,1:16.342,215.692,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
196,27,20,5,9,8,8,8,1.0,20,8,1:16.772,214.484,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
198,27,3,3,13,10,10,10,0.0,34,15,1:17.380,212.799,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
199,27,4,4,5,11,11,11,0.0,17,13,1:17.115,213.530,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
201,27,14,9,10,13,13,13,0.0,18,11,1:16.994,213.866,1,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
205,27,18,11,14,17,17,17,0.0,56,16,1:17.636,212.097,11,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
206,27,22,11,18,\N,R,18,0.0,30,19,1:17.986,211.145,4,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
207,27,17,9,8,\N,R,19,0.0,20,14,1:17.206,213.278,5,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
211,28,8,6,6,3,3,3,6.0,61,1,1:21.195,194.243,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
212,28,4,4,7,4,4,4,5.0,47,8,1:21.793,192.823,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
213,28,1,1,1,5,5,5,4.0,15,3,1:21.493,193.533,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
217,28,17,9,8,9,9,9,0.0,67,10,1:22.125,192.043,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
219,28,14,9,13,11,11,11,0.0,67,16,1:22.732,190.634,1,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
220,28,18,11,12,12,12,12,0.0,63,13,1:22.397,191.409,11,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
222,28,3,3,14,14,14,14,0.0,57,12,1:22.397,191.409,11,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
224,28,22,11,17,16,16,16,0.0,65,14,1:22.436,191.319,12,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
225,28,13,6,3,17,17,17,0.0,16,2,1:21.355,193.861,5,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
228,28,20,5,11,\N,R,20,0.0,17,20,1:24.222,187.262,25,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
229,29,13,6,1,1,1,1,10.0,36,1,1:38.708,197.637,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
230,29,1,1,2,2,2,2,8.0,16,2,1:38.884,197.285,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
234,29,20,5,6,6,6,6,3.0,36,6,1:39.485,196.093,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
236,29,3,3,9,8,8,8,1.0,35,10,1:39.577,195.912,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
240,29,17,9,14,12,12,12,0.0,27,14,1:40.264,194.570,11,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
241,29,18,11,16,13,13,13,0.0,21,18,1:40.763,193.606,11,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
244,29,22,11,19,16,16,16,0.0,56,16,1:40.593,193.933,11,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
245,29,14,9,17,17,17,17,0.0,13,19,1:40.978,193.194,11,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
246,29,8,6,4,\N,R,18,0.0,34,5,1:39.424,196.214,5,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
248,29,4,4,12,\N,R,20,0.0,\N,\N,\N,\N,4,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
249,30,13,6,2,1,1,1,10.0,26,3,1:48.222,232.987,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
251,30,1,1,1,3,3,3,6.0,20,2,1:48.135,233.175,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
252,30,4,4,6,4,4,4,5.0,25,9,1:49.238,230.820,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
253,30,20,5,10,5,5,5,4.0,16,8,1:49.086,231.142,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
256,30,17,9,7,8,8,8,1.0,34,10,1:49.515,230.236,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
259,30,14,9,14,11,11,11,0.0,19,11,1:50.177,228.853,11,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
260,30,3,3,15,12,12,12,0.0,32,15,1:50.656,227.862,11,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
263,30,18,11,17,15,15,15,0.0,19,16,1:50.671,227.832,11,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
266,30,8,6,4,18,18,18,0.0,24,1,1:47.930,233.618,20,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
267,30,22,11,16,\N,R,19,0.0,10,20,1:52.072,224.983,6,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
269,31,20,5,1,1,1,1,10.0,53,14,1:30.510,230.414,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
272,31,4,4,8,4,4,4,5.0,51,9,1:29.961,231.820,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
274,31,13,6,6,6,6,6,3.0,52,4,1:29.696,232.505,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
275,31,1,1,15,7,7,7,2.0,52,5,1:29.721,232.440,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
276,31,17,9,3,8,8,8,1.0,52,3,1:29.681,232.544,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
277,31,8,6,14,9,9,9,0.0,53,1,1:28.047,236.859,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
282,31,3,3,5,14,14,14,0.0,53,10,1:30.019,231.671,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
283,31,18,11,19,15,15,15,0.0,52,7,1:29.827,232.166,1,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
284,31,14,9,13,16,16,16,0.0,49,17,1:32.459,225.557,11,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
285,31,22,11,16,17,17,17,0.0,42,19,1:33.918,222.053,11,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
289,32,4,4,15,1,1,1,10.0,55,3,1:45.768,172.464,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
290,32,3,3,8,2,2,2,8.0,39,5,1:46.454,171.352,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
291,32,1,1,2,3,3,3,6.0,14,4,1:46.072,171.969,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
293,32,20,5,6,5,5,5,4.0,13,9,1:47.271,170.047,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
295,32,14,9,14,7,7,7,2.0,41,13,1:47.562,169.587,1,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
297,32,18,11,12,9,9,9,0.0,61,15,1:48.128,168.700,1,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
301,32,13,6,1,13,13,13,0.0,13,2,1:45.757,172.482,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
303,32,8,6,3,15,15,15,0.0,14,1,1:45.599,172.740,3,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
306,32,17,9,13,\N,R,18,0.0,13,17,1:49.183,167.069,7,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
307,32,22,11,18,\N,R,19,0.0,13,19,1:50.320,165.348,26,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
309,33,4,4,4,1,1,1,10.0,41,3,1:19.101,207.668,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
311,33,8,6,2,3,3,3,6.0,66,2,1:18.995,207.947,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
314,33,20,5,9,6,6,6,3.0,21,12,1:19.617,206.322,1,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
315,33,13,6,5,7,7,7,2.0,55,1,1:18.426,209.456,1,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
316,33,17,9,13,8,8,8,1.0,30,13,1:19.820,205.798,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
319,33,3,3,15,11,11,11,0.0,66,10,1:19.531,206.545,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
320,33,1,1,1,12,12,12,0.0,65,11,1:19.560,206.470,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
321,33,22,11,17,13,13,13,0.0,66,16,1:20.575,203.869,11,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
